Participant,Trial,Self,OtherConfidence,Others,ChoiceRed,correct,RT
103,100,0.24992984096447346,0.99999,0.9999,1,1,4897
103,101,0.8749298409644735,0.5,0.5,1,1,1871
103,103,0.6249298409644735,0.5,0.9999,1,0,2830
103,105,0.8749298409644735,0.99999,0.9999,1,1,12265
104,2,0.37492984096447346,0.5,0.25,0,1,1937
104,7,0.24992984096447346,0.5,0.5,0,1,925
104,10,0.49992984096447346,0.99999,0.75,1,1,1161
104,11,0.8749298409644735,0.5,0.25,1,0,1019
104,12,0.8749298409644735,0.5,0.75,1,1,877
104,13,0.24992984096447346,0.5,0.5,0,0,1522
104,15,0.6249298409644735,0.99999,0.5,1,1,1333
104,17,0.24992984096447346,0,1e-4,0,1,1131
104,18,0.12492984096447346,0.5,0.25,0,1,1343
104,19,0.8749298409644735,0.5,0.25,1,0,558
104,22,0.7499298409644735,0,1e-4,0,1,297
104,23,0.49992984096447346,0,1e-4,1,0,1527
104,26,0.7499298409644735,0.99999,0.25,1,0,1616
104,29,0.12492984096447346,0.5,0.75,0,0,659
104,30,0.7499298409644735,0.5,0.5,1,1,932
104,31,0.12492984096447346,0.5,0.75,0,1,771
104,33,0.6249298409644735,0.5,0.25,1,1,893
104,35,0.8749298409644735,0,1e-4,1,0,778
104,36,0.6249298409644735,0,1e-4,1,1,1112
104,37,0.12492984096447346,0.5,0.25,0,1,1309
104,38,0.49992984096447346,0.99999,0.25,0,1,2593
104,39,0.12492984096447346,0,1e-4,0,0,554
104,41,0.24992984096447346,0,1e-4,0,1,1091
104,42,0.37492984096447346,0,1e-4,0,0,719
104,45,0.7499298409644735,0,1e-4,1,0,424
104,46,0.6249298409644735,0.5,0.25,1,1,624
104,47,0.37492984096447346,0.5,0.25,0,1,1676
104,48,0.49992984096447346,0,1e-4,0,1,1267
104,49,0.37492984096447346,0.99999,0.5,0,0,1214
104,54,0.8749298409644735,0,1e-4,1,0,438
104,57,0.12492984096447346,0,1e-4,0,1,919
104,58,0.8749298409644735,0.99999,0.25,1,1,824
104,61,0.6249298409644735,0.99999,0.75,1,1,2725
104,63,0.12492984096447346,0.5,0.5,0,1,6717
104,64,0.49992984096447346,0.99999,0.25,0,1,2091
104,65,0.6249298409644735,0.5,0.5,1,1,4271
104,69,0.8749298409644735,0.99999,0.75,1,1,834
104,72,0.12492984096447346,0.99999,0.25,0,1,466
104,73,0.24992984096447346,0.99999,0.25,0,1,1100
