RedChoice,Self,Others,Group,SubjectPair,RT,Trial,Other1,Other2,Other3,Other4,Other1rt,Other2rt,Other3rt,Other4rt,Other1confidence,Other2confidence,Other3confidence,Other4confidence,OptimalChoice,OthersConfidenceRed,OthersConfidenceGreen,Subject,RTscaled
0,0.25,3898.5,1,101,1475,65,1,1,1,1,560,656,86,605,0.5,0.5,0.5,0.5,0,0.5,1,101,-0.872041002400424
1,0.75,3898.5,1,101,1930,27,1,1,1,0,2079,2290,2153,449,1,1,1,0.5,1,1,0.5,101,0.8133713166218468
1,0.75,3898.5,1,101,1631,69,1,1,1,1,560,529,560,817,0.5,0.5,0.5,0.5,1,0.5,1,101,0.8422842577255087
1,0.875,3898.5,1,101,2005,77,0,0,0,0,416,146,389,568,0.5,0.5,0.5,0.5,0,1,0.5,101,0.8061189066460117
0,0.25,3898.5,1,101,1480,79,0,0,1,0,248,628,182,575,0.5,0.5,0.5,0.5,1,0.5,0.5,101,-0.8716072430865272
0,0.5,3898.5,1,101,2587,11,0,0,0,1,517,1,522,2245,0.5,0.5,0.5,1,0,1,0.5,101,-0.7755729309897607
1,0.625,3898.5,1,101,2295,33,1,1,1,1,2236,2105,2442,1877,1,1,1,1,1,1,1,101,0.77807625473945
1,0.875,3898.5,1,101,2434,105,1,1,1,1,742,104,803,739,0.5,0.5,0.5,0.5,1,0.5,1,101,0.7646351215842357
0,0.5,3898.5,1,101,4022,67,1,1,1,1,265,538,19,292,0.5,0.5,0.5,0.5,0,0.5,1,101,-0.6510840079013596
0,0.125,3898.5,1,101,2219,29,1,1,1,1,1760,2059,1939,2368,1,1,1,1,0,1,1,101,-0.8074976164925701
0,0.375,3898.5,1,101,2320,3,0,0,0,0,584,251,271,89,0.5,0.5,0.5,0.5,1,1,0.5,101,-0.7987356783518533
1,0.75,3898.5,1,101,1590,55,0,0,1,1,1981,2155,149,774,1,1,0.5,0.5,1,0.5,1,101,0.8462489085122986
1,0.875,3898.5,1,101,1523,91,0,1,0,1,211,266,745,118,0.5,0.5,0.5,0.5,0,0.5,0.5,101,0.8527277280907111
1,0.875,3898.5,1,101,1415,49,1,0,0,0,353,1936,2465,2057,0.5,1,1,1,1,0.5,1,101,0.8631711984559136
0,0.25,3898.5,1,101,1810,93,1,1,0,1,70,256,268,341,0.5,0.5,0.5,0.5,0,0.5,0.5,101,-0.8429791283693339
1,0.625,3898.5,1,101,2190,19,0,1,0,1,425,2482,38,2125,0.5,1,0.5,1,1,1,0.5,101,0.788229628705619
0,0.125,3898.5,1,101,1505,57,1,1,1,0,380,624,476,1833,0.5,0.5,0.5,1,0,0.5,1,101,-0.8694384465170428
0,0.375,3898.5,1,101,1676,101,1,1,1,1,607,740,601,430,0.5,0.5,0.5,0.5,0,0.5,1,101,-0.85460387798177
0,0.375,3898.5,1,101,3039,45,0,1,0,0,2481,12,2309,1730,1,0.5,1,1,0,0.5,1,101,-0.7363610890134838
0,0.125,3898.5,1,101,1566,71,0,0,0,0,386,290,711,324,0.5,0.5,0.5,0.5,1,1,0.5,101,-0.864146582887501
1,0.625,3898.5,1,101,1684,75,0,0,0,0,90,140,130,373,0.5,0.5,0.5,0.5,0,1,0.5,101,0.8371592213425854
0,0.375,3898.5,1,101,1976,59,1,1,0,1,296,190,2085,604,0.5,0.5,1,0.5,1,0.5,1,101,-0.8285783191479579
0,0.5,3898.5,1,101,3532,95,0,1,1,1,499,589,94,142,0.5,0.5,0.5,0.5,0,0.5,0.5,101,-0.6935924206632527
1,0.75,3898.5,1,101,1518,83,0,0,0,1,598,546,443,125,0.5,0.5,0.5,0.5,0,0.5,0.5,101,0.8532112220891002
0,0.25,3898.5,1,101,1274,23,1,1,1,0,1862,1966,2117,255,1,1,1,0.5,0,1,0.5,101,-0.8894781268190781
0,0.25,3898.5,1,101,2260,37,0,0,0,0,2106,2110,1904,2353,1,1,1,1,1,1,1,101,-0.8039407901186157
0,0.125,3898.5,1,101,1338,43,0,0,0,1,1983,1922,1885,703,1,1,1,0.5,0,0.5,1,101,-0.8839260076011982
1,0.625,3898.5,1,103,3e4,54,1,1,0,0,488,536,1794,2163,0.5,0.5,1,1,0,0.5,1,103,0.00990099009900991
1,0.125,3898.5,1,103,16609,64,1,1,1,1,741,777,820,697,0.5,0.5,0.5,0.5,1,0.5,1,103,0.4518481848184819
0,0.25,3898.5,1,103,3e4,86,0,1,1,0,2435,2161,2221,2137,1,1,1,1,0,1,1,103,-0.00990099009900991
0,0.125,3898.5,1,103,19897,78,0,0,0,1,1829,2414,2292,2116,1,1,1,1,1,1,1,103,-0.3433333333333334
