ID,BotStrategyN,Role,player.tom_role,Choice,BotChoice,Payoff,BotPayoff,BotParameters,Trial,BotStrategy
Copenhagen,2,1,0,1,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.33042325473294676, 'p_op_var0': 0.41145576594982586}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.146700556317274, 'p_op_var0': 0.3471381863731186}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.51158746]), 'param_mean': array([[-0.30247143,  0.36289311,  0.09434867]]), 'param_var': array([[ 1.08664021, -0.05626326, -0.37326238]]), 'gradient': array([[-0.03201356,  0.60590583,  1.        ]])}}}, 'own_states': {'p_k': array([0.52366692, 0.47633308]), 'p_op_mean': array([-0.6898493 , -0.11680868]), 'param_mean': array([[-0.05442909,  0.15598798, -0.46361492],        [ 0.00066717,  0.21145398, -0.46457958]]), 'param_var': array([[ 0.23627131, -0.03587348, -0.22535919],        [ 0.23954433, -0.06064035, -0.21201135]]), 'gradient': array([[-0.17461239,  0.22622307,  1.        ],        [-0.00196551, -0.3477535 ,  1.        ]]), 'p_self': 0.27665167824003695}}",3,2
Stockholm,1,0,1,1,1,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.3701793413999747, 'p_op_var0': 0.4505535078679657}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.45962464]), 'param_mean': array([[ 0.08368192, -0.23279183, -0.08884544]]), 'param_var': array([[ 0.23317874, -0.06872457, -0.40471129]]), 'gradient': array([[-0.27883338,  0.37076066,  1.        ]]), 'p_self': 0.7450717898343564}}",3,1
Vienna,0,1,0,1,1,-1,1,"{'opponent_states': {}, 'own_states': {'p_op_mean0': 0.05728841572245764, 'p_op_var0': -0.1979324771056322, 'p_self': 0.5341459355204748}}",3,0
Budapest,1,0,1,0,0,1,-1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -0.31926869222099974, 'p_op_var0': 0.4002056015631245}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.95222834]), 'param_mean': array([[-0.09574665,  0.26635428, -0.75601484]]), 'param_var': array([[ 0.23317874, -0.06872457, -0.40471129]]), 'gradient': array([[-0.15250808,  0.1962037 ,  1.        ]]), 'p_self': 0.8979004726263219}}",3,1
London,-2,1,0,1,1,-1,1,WSLS,3,-2
Berlin,-1,1,0,1,1,-1,1,Random Bias 0.6 Head,3,-1
Oxford,-2,1,0,0,1,1,-1,WSLS,4,-2
Hamburg,-1,0,1,1,0,-1,1,Random Bias 0.6 Head,4,-1
Paris,-2,0,1,1,0,-1,1,WSLS,4,-2
Florence,2,1,0,1,1,-1,1,"{'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': -1.6052251790378138, 'p_op_var0': 0.5737678871723236}}, 1: {'opponent_states': {0: {'opponent_states': {}, 'own_states': {'p_op_mean0': 0.9852485283796601, 'p_op_var0': 0.39802923466207707}}}, 'own_states': {'p_k': array([1.]), 'p_op_mean': array([-0.0951257]), 'param_mean': array([[-0.30446821, -0.0022331 , -0.85240408]]), 'param_var': array([[ 1.31238643, -0.08402704, -0.52986944]]), 'gradient': array([[ 0.0610119 , -0.75724052,  1.        ]])}}}, 'own_states': {'p_k': array([0.55195463, 0.44804537]), 'p_op_mean': array([1.46808967, 0.18033539]), 'param_mean': array([[ 0.05018185, -0.23930451,  0.05560897],        [-0.00400388, -0.18223537,  0.08415005]]), 'param_var': array([[ 0.33742675, -0.13301032, -0.3025977 ],        [ 0.34072841, -0.07251567, -0.30630835]]), 'gradient': array([[ 0.01904359, -1.41241008,  1.        ],        [ 0.00624391, -0.09618053,  1.        ]]), 'p_self': 0.8400442889247938}}",4,2
